ID_name,block,color,condition,correct_keyboard_response,number,practice,response_keyboard_response,response_time_keyboard_response,subject_nr
sajttorta,0,blue,dot,0,8,yes,lshift,777,1
sajttorta,0,red,dot,1,9,yes,lshift,546,1
sajttorta,0,red,dot,1,2,yes,lshift,636,1
sajttorta,0,red,dot,1,6,yes,lshift,512,1
sajttorta,0,red,dot,1,8,yes,lshift,373,1
sajttorta,0,red,dot,1,1,yes,lshift,2143,1
sajttorta,0,blue,dot,1,3,yes,rshift,551,1
sajttorta,0,red,dot,1,3,yes,lshift,564,1
sajttorta,0,blue,dot,1,9,yes,rshift,551,1
sajttorta,0,red,dot,1,7,yes,lshift,616,1
sajttorta,0,blue,dot,1,7,yes,rshift,533,1
sajttorta,0,red,dot,1,4,yes,lshift,459,1
sajttorta,0,blue,dot,1,1,yes,rshift,609,1
sajttorta,0,blue,dot,1,4,yes,rshift,444,1
sajttorta,0,blue,dot,1,6,yes,rshift,417,1
sajttorta,0,blue,dot,1,2,yes,rshift,372,1
sajttorta,1,blue,dot,1,3,no,rshift,443,1
sajttorta,1,blue,dot,1,7,no,rshift,348,1
sajttorta,1,red,dot,1,9,no,lshift,353,1
sajttorta,1,blue,dot,1,2,no,rshift,341,1
sajttorta,1,blue,dot,1,1,no,rshift,363,1
sajttorta,1,red,dot,1,3,no,lshift,290,1
sajttorta,1,red,dot,1,2,no,lshift,332,1
sajttorta,1,red,dot,1,4,no,lshift,352,1
sajttorta,1,red,dot,1,9,no,lshift,459,1
sajttorta,1,red,dot,1,4,no,lshift,467,1
sajttorta,1,blue,dot,0,3,no,lshift,1401,1
sajttorta,1,blue,dot,1,4,no,rshift,819,1
sajttorta,1,blue,dot,1,3,no,rshift,391,1
sajttorta,1,blue,dot,1,4,no,rshift,372,1
sajttorta,1,blue,dot,1,6,no,rshift,391,1
sajttorta,1,red,dot,1,8,no,lshift,376,1
sajttorta,1,blue,dot,1,4,no,rshift,417,1
sajttorta,1,red,dot,1,7,no,lshift,377,1
sajttorta,1,blue,dot,1,3,no,rshift,381,1
sajttorta,1,blue,dot,1,6,no,rshift,306,1
sajttorta,1,red,dot,1,2,no,lshift,372,1
sajttorta,1,red,dot,1,2,no,lshift,356,1
sajttorta,1,blue,dot,1,9,no,rshift,340,1
sajttorta,1,red,dot,1,3,no,lshift,321,1
sajttorta,1,red,dot,1,3,no,lshift,266,1
sajttorta,1,red,dot,1,1,no,lshift,249,1
sajttorta,1,blue,dot,1,2,no,rshift,375,1
sajttorta,1,blue,dot,1,4,no,rshift,324,1
sajttorta,1,blue,dot,1,7,no,rshift,585,1
sajttorta,1,blue,dot,1,1,no,rshift,301,1
sajttorta,1,blue,dot,1,2,no,rshift,306,1
sajttorta,1,blue,dot,1,3,no,rshift,932,1
sajttorta,1,red,dot,1,1,no,lshift,294,1
sajttorta,1,red,dot,1,9,no,lshift,388,1
sajttorta,1,red,dot,1,2,no,lshift,351,1
sajttorta,1,blue,dot,1,1,no,rshift,382,1
sajttorta,1,blue,dot,1,7,no,rshift,321,1
sajttorta,1,red,dot,1,8,no,lshift,340,1
sajttorta,1,red,dot,1,7,no,lshift,353,1
sajttorta,1,red,dot,1,7,no,lshift,327,1
sajttorta,1,blue,dot,1,6,no,rshift,363,1
sajttorta,1,red,dot,1,1,no,lshift,470,1
sajttorta,1,blue,dot,1,3,no,rshift,415,1
sajttorta,1,red,dot,1,4,no,lshift,348,1
sajttorta,1,blue,dot,1,7,no,rshift,390,1
sajttorta,1,blue,dot,1,2,no,rshift,364,1
sajttorta,1,red,dot,1,4,no,lshift,355,1
sajttorta,1,blue,dot,1,8,no,rshift,373,1
sajttorta,1,blue,dot,1,8,no,rshift,394,1
sajttorta,1,blue,dot,1,6,no,rshift,324,1
sajttorta,1,blue,dot,1,4,no,rshift,366,1
sajttorta,1,red,dot,1,8,no,lshift,387,1
sajttorta,1,blue,dot,1,2,no,rshift,465,1
sajttorta,1,red,dot,1,6,no,lshift,327,1
sajttorta,1,blue,dot,1,9,no,rshift,409,1
sajttorta,1,blue,dot,1,7,no,rshift,366,1
sajttorta,1,blue,dot,1,7,no,rshift,314,1
sajttorta,1,blue,dot,1,1,no,rshift,425,1
sajttorta,1,red,dot,1,6,no,lshift,324,1
sajttorta,1,red,dot,1,2,no,lshift,320,1
sajttorta,1,blue,dot,1,7,no,rshift,379,1
sajttorta,1,blue,dot,1,8,no,rshift,407,1
sajttorta,1,red,dot,1,9,no,lshift,344,1
sajttorta,1,red,dot,1,4,no,lshift,315,1
sajttorta,1,blue,dot,1,1,no,rshift,268,1
sajttorta,1,red,dot,1,1,no,lshift,345,1
sajttorta,1,blue,dot,1,8,no,rshift,412,1
sajttorta,1,blue,dot,1,8,no,rshift,430,1
sajttorta,1,red,dot,1,3,no,lshift,339,1
sajttorta,1,blue,dot,1,1,no,rshift,436,1
sajttorta,1,red,dot,1,8,no,lshift,330,1
sajttorta,1,red,dot,1,6,no,lshift,375,1
sajttorta,1,blue,dot,1,7,no,rshift,472,1
sajttorta,1,red,dot,1,7,no,lshift,308,1
sajttorta,1,blue,dot,1,9,no,rshift,356,1
sajttorta,1,red,dot,1,6,no,lshift,351,1
sajttorta,1,red,dot,1,7,no,lshift,846,1
sajttorta,1,blue,dot,1,3,no,rshift,443,1
sajttorta,1,blue,dot,1,9,no,rshift,349,1
sajttorta,1,red,dot,1,3,no,lshift,380,1
sajttorta,1,blue,dot,1,3,no,rshift,390,1
sajttorta,1,red,dot,1,6,no,lshift,374,1
sajttorta,1,red,dot,1,4,no,lshift,384,1
sajttorta,1,blue,dot,1,9,no,rshift,340,1
sajttorta,1,blue,dot,1,9,no,rshift,389,1
sajttorta,1,red,dot,1,7,no,lshift,396,1
sajttorta,1,red,dot,1,9,no,lshift,352,1
sajttorta,1,blue,dot,1,6,no,rshift,363,1
sajttorta,1,blue,dot,1,9,no,rshift,344,1
sajttorta,1,red,dot,1,9,no,lshift,390,1
sajttorta,1,red,dot,1,8,no,lshift,350,1
sajttorta,1,red,dot,1,2,no,lshift,308,1
sajttorta,1,red,dot,1,8,no,lshift,372,1
sajttorta,1,blue,dot,1,6,no,rshift,400,1
sajttorta,1,blue,dot,1,8,no,rshift,320,1
sajttorta,1,red,dot,1,3,no,lshift,289,1
sajttorta,1,blue,dot,1,7,no,rshift,381,1
sajttorta,1,red,dot,1,2,no,lshift,330,1
sajttorta,1,red,dot,1,6,no,lshift,340,1
sajttorta,1,blue,dot,1,2,no,rshift,380,1
sajttorta,1,blue,dot,1,6,no,rshift,448,1
sajttorta,1,blue,dot,1,6,no,rshift,403,1
sajttorta,1,blue,dot,1,4,no,rshift,440,1
sajttorta,1,red,dot,1,8,no,lshift,392,1
sajttorta,1,red,dot,1,1,no,lshift,390,1
sajttorta,1,red,dot,1,1,no,lshift,312,1
sajttorta,1,blue,dot,1,4,no,rshift,329,1
sajttorta,1,red,dot,1,3,no,lshift,370,1
sajttorta,1,red,dot,1,1,no,lshift,285,1
sajttorta,1,blue,dot,1,9,no,rshift,341,1
sajttorta,1,red,dot,1,9,no,lshift,356,1
sajttorta,1,blue,dot,1,2,no,rshift,315,1
sajttorta,1,red,dot,1,2,no,lshift,277,1
sajttorta,1,blue,dot,0,3,no,lshift,241,1
sajttorta,1,blue,dot,1,7,no,rshift,393,1
sajttorta,1,red,dot,1,8,no,lshift,558,1
sajttorta,1,blue,dot,1,1,no,rshift,373,1
sajttorta,1,red,dot,1,6,no,lshift,351,1
sajttorta,1,red,dot,1,7,no,lshift,413,1
